PHONE,CITY,ZIP,URL,MAJOR,POI_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,STATE,GLOBALID
303-832-4092,Denver,80203.0,http://www.mollybrown.org/,YES,Molly Brown House Museum,,1340 Pennsylvania St.,,,{00000000-0000-0000-0000-000000000000}
303-297-1166,Denver,80216.0,http://www.nationalwestern.com, ,National Western Complex,,4655 Humboldt St.,,,{00000000-0000-0000-0000-000000000000}
303-561-4450,Denver,80211.0,http://www.oceanjourney.com/,YES,Ocean Journey,,700 Water St.,,,{00000000-0000-0000-0000-000000000000}
303-831-9448,Denver,80218.0, , ,Ogden Theatre,,935 E. Colfax Ave.,,,{00000000-0000-0000-0000-000000000000}
303-388-3900,Denver,80206.0,http://www.taubman.com/shopcen/frmsets/1024/html/locater/1024fr, ,Cherry Creek Shopping Center,,3000 E. 1st Ave.,,,{00000000-0000-0000-0000-000000000000}
303-825-4904,Denver,80202.0, ,YES,Paramount Theater,,1631 Glenarm Pl.,,,{00000000-0000-0000-0000-000000000000}
303-458-4900,Denver,80221.0,http://www.regis.edu/,YES,Regis University,,3333 Regis Blvd.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,80220.0, , ,Richthofen Castle,,7020 E. 12th Ave.,,,{00000000-0000-0000-0000-000000000000}
303-871-2336,Denver,80208.0,http://www.du.edu/RitchieCenter/, ,Ritchie Events Center,,2240 E. Buchtel Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-866-2604,Denver,80203.0,http://www.archives.state.co.us/cap/first.htm,YES,State Capitol,,200 E. Colfax Ave.,,,{00000000-0000-0000-0000-000000000000}
303-572-6868,Denver,80202.0, , ,Tabor Center,,"1201 16th St., Suite 120",,,{00000000-0000-0000-0000-000000000000}
303-936-8441,Denver,80236.0,http://www.tlhu.edu/, ,Teikyo Loretto Heights,,3001 S. Federal Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-534-1012,Denver,80202.0, ,YES,Union Station,,1701 Wynkoop St.,,,{00000000-0000-0000-0000-000000000000}
303-405-4761,Denver,80204.0,http://www.usmint.gov/mint_tours/index.cfm?action=denver,YES,United States Mint at Denver,,320 W. Colfax Ave.,,,{00000000-0000-0000-0000-000000000000}
303-399-1859,Denver,80246.0,http://denvergov.com/dephome.asp?depid=105, ,Four Mile House and Historic Park,,715 S. Forest St.,,,{00000000-0000-0000-0000-000000000000}
303-753-6046,Denver,80224.0,http://rmcad.edu/, ,Rocky Mountain College of Art and Design,,6875 E. Evans Ave.,,,{00000000-0000-0000-0000-000000000000}
303-556-2400,Denver,80202.0,http://www.cudenver.edu/,YES,University of Colorado at Denver,,1250 14th St.,,,{00000000-0000-0000-0000-000000000000}
303-372-0000,Denver,0.0, ,YES,University of Colorado Health Sciences Center,,4200 E. 9th Ave.,,,{00000000-0000-0000-0000-000000000000}
303-871-2000,Denver,80208.0,http://www.du.edu/,YES,University of Denver,,2199 S. University Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-405-8555,Denver,80204.0,http://www.pepsicenter.com,YES,Pepsi Center,,1000 Chopper Pl.,,,{00000000-0000-0000-0000-000000000000}
303-342-2000,Denver,80249.0,http://www.flydenver.com/, ,Denver International Airport,,8500 Pena Blvd.,,,{00000000-0000-0000-0000-000000000000}
720-865-5000,Denver,80204.0,http://www.denverartmuseum.org/,YES,Denver Art Museum,,100 W. 14th Ave. Parkway,,,{00000000-0000-0000-0000-000000000000}
303-477-1621,Denver,80211.0,http://www.lakesideamusementpark.com, ,Lakeside Amusement Park,,4601 Sheridan Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-556-3291,Denver,80204.0, , ,Ninth Street Historic Park,,1027 9th St.,,,{00000000-0000-0000-0000-000000000000}
303-861-8888,Denver,80218.0,http://www.tchden.org/,YES,Children's Hospital,,1056 E. 19th Ave.,,,{00000000-0000-0000-0000-000000000000}
303-295-4444,Denver,80216.0,http://www.denvergov.org/dephome.asp?depid=58, ,Denver Coliseum,,4600 Humboldt St.,,,{00000000-0000-0000-0000-000000000000}
303-376-4800,Denver,80205.0,http://www.denverzoo.org/, ,Denver Zoo,,2300 Steele St.,,,{00000000-0000-0000-0000-000000000000}
303-433-7444,Denver,80211.0,http://www.cmdenver.org/navigation.html,YES,Children's Museum,,2121 Childrens Museum Dr.,,,{00000000-0000-0000-0000-000000000000}
303-871-5172,Denver,0.0, , ,Chamberlain Observatory,,2390 E. Warren Ave.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Sloan's Lake,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Federal District,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,410 W 17th St,,410 W. 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,World Trade Center,,1625 Broadway,,,{00000000-0000-0000-0000-000000000000}
303-893-3333,Denver,0.0, , ,Adam's Mark Hotel,,1550 Court Pl.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,1899 Wynkoop,,1899 Wynkoop St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Blake Street Terrace,,1860 Blake St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Warwick Hotel,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Mellon Financial Center,,1775 Sherman St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Lincoln Center,,1660 Lincoln St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,17th Street Plaza,,1225 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Denver Dry Building,,700 16th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Hotel Teatro,,1100 14th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,One Tabor Center,,1200 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Columbine Place,,216 16th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Millenium Financial Center,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,La Alma / Lincoln Park Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Five Points,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Larimer Corporate Plaza,,1675 Larimer St.,,,{00000000-0000-0000-0000-000000000000}
303-556-3276,Denver,80204.0,http://www.ahec.edu/,YES,Auraria Campus/Higher Education,,1380 Lawrence St.,,,{00000000-0000-0000-0000-000000000000}
303-892-1436,Denver,80204.0,http://www.firedenver.org/museum/,YES,Denver Firefighters Museum,,1326 Tremont Pl.,,,{00000000-0000-0000-0000-000000000000}
 , ,0.0, , ,Uptown Square,, ,,,{00000000-0000-0000-0000-000000000000}
303-640-2862,Denver,80204.0,http://www.denvergov.org/dephome.asp?depid=77,YES,Denver Performing Arts Complex,,950 13th St.,,,{00000000-0000-0000-0000-000000000000}
303-685-8143,Denver,80202.0,http://www.larimersquare.com/,YES,Larimer Square,,1430 Larimer Square,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Legacy Tower,,700 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,80202.0, ,YES,Sakura Square,,1255 19th St.,,,{00000000-0000-0000-0000-000000000000}
720-913-4900,Denver,80202.0,http://www.denvergov.org/,YES,Denver City and County Building,,1435 Bannock St.,,,{00000000-0000-0000-0000-000000000000}
720-865-1111,Denver,80204.0,http://www.denver.lib.co.us/,YES,Denver Public Library,,10 W. 14th Ave. Parkway,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,First Interstate Tower North,,633 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Denver Place,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Embassy Suites,,1881 Curtis St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,1875 Lawrence,,1875 Lawrence St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Trinity Place,,1801 Broadway,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Qwest Tower,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Wells Fargo Tower,,621 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Writer Square Tower,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Denver Club Building,,518 17th St,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,1801 California,,1801 California St.,,,{00000000-0000-0000-0000-000000000000}
303-595-4386,Denver,80204.0,http://www.sixflags.com/elitchgardens,YES,Six Flags Elitch Gardens,,2000 Elitches Cir.,,,{00000000-0000-0000-0000-000000000000}
303-360-5360,Denver,0.0, , ,Wings Over the Rockies Air and Space Museum,,7711 E. Academy Blvd. (Lowry Campus),,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Wells Fargo Center,,1700 Lincoln Ave.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Denver Place Plaza Tower,,1099 18th St.,,,{00000000-0000-0000-0000-000000000000}
 , ,0.0, , ,Daniels and Fisher Tower,,1101 16th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Elephant Corral,,1444 Wazee St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Alamo Plaza,,1401 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Republic Plaza,,330 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,1670 Broadway,,1670 Broadway,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,US Bank Tower,,950 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Glenarm Plaza,,1616 Glenarm Pl.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Dominion Plaza,,600 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Independence Plaza,,1050 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Hudson's Bay Centre,,1600 Stout St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Lawrence Center,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Public Service Building,,550 15th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, ,YES,University Building,,910 16th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,The Chamber Building,,1445 Market St.,,,{00000000-0000-0000-0000-000000000000}
303-628-5578,Denver,0.0, , ,Oxford Executive Suites,,1616 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,16 Market Square,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,JP Plaza,,1601 Blake St.,,,{00000000-0000-0000-0000-000000000000}
303-571-1114,Denver,0.0, , ,Courtyard by Marriott,,934 16th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Uptown Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Capitol Hill Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Highland Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Prospect Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,City of Cuenavaca Park,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Ball Park Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Curtis Park Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Confluence Park,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Commons Park,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Golden Triangle Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Guaranty Bank Building,,805 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,18th Street Atrium,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,80202.0, ,YES,Wellington E. Webb Municipal Office Building,,201 W. Colfax Ave.,,,{00000000-0000-0000-0000-000000000000}
,Denver,80216.0,,,Forney Museum of Transportation,,4303 Brighton Blvd.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Johns Manville Plaza,,717 17th St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Park Central,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Market Center,, ,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Jefferson Park Neighborhood,, ,,,{00000000-0000-0000-0000-000000000000}
303-292-2566,Denver,0.0, , ,Black American West Museum and Heritage Center,,3091 California St.,,,{00000000-0000-0000-0000-000000000000}
303-297-3111,Denver,80202.0,http://www.brownpalace.com/, ,Brown Palace Hotel,,321 17th St.,,,{00000000-0000-0000-0000-000000000000}
303-620-4933,Denver,80204.0,http://www.coloradohistory.org/,YES,Byers-Evans House,,1310 Bannock St.,,,{00000000-0000-0000-0000-000000000000}
303-866-3682,Denver,0.0, ,YES,Colorado Historical Society and Museum,,1300 Broadway,,,{00000000-0000-0000-0000-000000000000}
303-292-0200,Denver,80205.0,http://www.coloradorockies.com/index.html,YES,Coors Field,,2001 Blake St.,,,{00000000-0000-0000-0000-000000000000}
720-865-3500,Denver,80206.0,http://www.botanicgardens.org/, ,Denver Botanic Gardens,,1005 York St.,,,{00000000-0000-0000-0000-000000000000}
303-595-3800,Denver,80204.0, , ,Denver Civic Theater,,721 Santa Fe Dr.,,,{00000000-0000-0000-0000-000000000000}
303-288-8000,Denver,80202.0,http://www.denverconvention.com/,YES,Denver Convention Complex,,700 14th St.,,,{00000000-0000-0000-0000-000000000000}
303-436-6000,Denver,80204.0,http://www.denverhealth.org, ,Denver Health Medical Center,,777 Bannock St.,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Denver Post Tower,,1560 Broadway,,,{00000000-0000-0000-0000-000000000000}
